x1,y1,x2,y2,col
5.4648,-13.5,48.5352,-13.5,"Black"
48.5352,-13.5,54,-10.3449,"Black"
54,-10.3449,54,10.3449,"Black"
54,10.3449,50.8449,13.5,"Black"
50.8449,13.5,3.1551,13.5,"Black"
3.1551,13.5,0,10.3449,"Black"
0,10.3449,0,-10.3449,"Black"
0,-10.3449,5.4648,-13.5,"Black"

9.525,1.6667,9.525,-1.6667,"Blue"
9.2225,0.16667,9.525,0.16667,"Black"
9.2225,-0.16667,9.525,-0.16667,"Black"
9.2225,0.16667,9.2225,-0.16667,"Black"
9.2225,0,8.3475,0,"Purple"

9.525,1.6667,12.411,3.333,"Blue"
11.1123,2.5833,10.9611,2.8453,"Black"
10.823,2.4167,10.67175,2.6786,"Black"
10.67175,2.6786,10.9611,2.8453,"Black"
10.81675,2.7620,10.37925,3.5198,"Purple"

9.525,-1.6667,12.411,-3.333,"Blue"
11.1123,-2.5833,10.9611,-2.8453,"Black"
10.823,-2.4167,10.67175,-2.6786,"Black"
10.67175,-2.6786,10.9611,-2.8453,"Black"
10.81675,-2.7620,10.37925,-3.5198,"Purple"

12.411,3.333,15.298,1.6667,"Blue"
12.411,-3.333,15.298,-1.6667,"Blue"
15.298,1.6667,15.298,-1.6667,"Blue"

44.475,1.6667,44.475,-1.6667,"Red"
44.7775,0.16667,44.475,0.16667,"Black"
44.7775,-0.16667,44.475,-0.16667,"Black"
44.7775,0.16667,44.7775,-0.16667,"Black"
44.7775,0,45.6525,0,"Purple"

44.475,1.6667,41.589,3.333,"Red"
42.8877,2.5833,43.0389,2.8453,"Black"
43.177,2.4167,43.32825,2.6786,"Black"
43.32825,2.6786,43.0389,2.8453,"Black"
43.18325,2.7620,43.62075,3.5198,"Purple"

44.475,-1.6667,41.589,-3.333,"Red"
42.8877,-2.5833,43.0389,-2.8453,"Black"
43.177,-2.4167,43.32825,-2.6786,"Black"
43.32825,-2.6786,43.0389,-2.8453,"Black"
43.18325,-2.7620,43.62075,-3.5198,"Purple"

41.589,3.333,38.702,1.6667,"Red"
41.589,-3.333,38.702,-1.6667,"Red"
38.702,1.6667,38.702,-1.6667,"Red"

54,4.15,44.65,13.5,"Red"
54,-6.303448,41.5352,-13.5,"Blue"

0,4.15,9.35,13.5,"Blue"
0,-6.303448,12.4648,-13.5,"Red"

6.5417,13.5,13.9417,13.5,"Gray"
6.5417,15.9667,13.9417,15.9667,"Gray"
13.9417,13.5,13.9417,15.9667,"Gray"
6.5417,13.5,6.5417,15.9667,"Gray"

23.7333,13.5,31.1333,13.5,"Gray"
23.7333,15.9667,31.1333,15.9667,"Gray"
31.1333,13.5,31.1333,15.9667,"Gray"
23.7333,13.5,23.7333,15.9667,"Gray"

40.0583,13.5,47.4583,13.5,"Gray"
40.0583,15.9667,47.4583,15.9667,"Gray"
47.4583,13.5,47.4583,15.9667,"Gray"
40.0583,13.5,40.0583,15.9667,"Gray"

13.7917,-13.5,21.1917,-13.5,"Gray"
13.7917,-15.9667,21.1917,-15.9667,"Gray"
21.1917,-13.5,21.1917,-15.9667,"Gray"
13.7917,-13.5,13.7917,-15.9667,"Gray"

32.8083,-13.5,40.2083,-13.5,"Gray"
32.8083,-15.9667,40.2083,-15.9667,"Gray"
40.2083,-13.5,40.2083,-15.9667,"Gray"
32.8083,-13.5,32.8083,-15.9667,"Gray"
